tstart;tend;delta;web;value;type;path;overwrite;comment
2009-10-02T11:35:00;2009-10-02T12:37:00;63;False;nan;float;E,A;;
2010-12-06T16:24:00;2010-12-06T18:44:00;141;False;nan;float;E,A;;
2011-04-01T10:41:00;2011-04-01T11:57:00;77;False;nan;float;E,A;;
2012-04-04T09:13:00;2012-04-04T15:08:00;356;False;nan;float;E,A;;
2012-07-22T09:38:00;2012-07-22T21:24:00;707;False;nan;float;E,A;;
2013-05-18T06:39:00;2013-05-18T10:13:00;215;False;nan;float;E,A;;
2013-05-19T02:07:00;2013-05-20T02:08:00;1442;False;nan;float;E,A;;
2013-06-02T07:19:00;2013-06-02T09:22:00;124;False;nan;float;E,A;;
2013-06-04T21:47:00;2013-06-05T13:31:00;945;False;nan;float;E,A;;
2013-09-12T15:06:00;2013-09-12T16:06:00;61;False;nan;float;E,A;;
2013-09-13T08:08:00;2013-09-13T09:08:00;61;False;nan;float;E,A;;
2014-09-14T10:20:00;2014-09-14T12:12:00;113;False;nan;float;E,A;;
2014-09-15T09:53:00;2014-09-16T22:55:00;2223;False;nan;float;E,A;;
2014-10-14T14:18:00;2014-10-17T13:41:00;4284;False;nan;float;E,A;;
2014-10-18T19:15:00;2014-10-24T17:08:00;8514;False;nan;float;E,A;;
2014-10-31T10:34:00;2014-11-03T16:57:00;4704;False;nan;float;E,A;;
2014-11-15T10:40:00;2014-11-22T10:22:00;10063;False;nan;float;E,A;;
2015-02-04T10:19:00;2015-02-04T14:08:00;230;False;nan;float;E,A;;
2015-02-12T11:34:00;2015-02-15T00:29:00;3656;False;nan;float;E,A;;
2015-02-20T09:47:00;2015-02-26T14:24:00;8918;False;nan;float;E,A;;
2015-05-22T14:44:00;2015-05-22T15:44:00;61;False;nan;float;E,A;;
2015-06-20T08:00:00;2015-06-20T09:00:00;61;False;nan;float;E,A;;
2016-03-14T22:15:00;2016-03-14T23:31:00;77;False;nan;float;E,A;;
2016-03-26T08:56:00;2016-04-15T15:13:00;29178;False;nan;float;E,A;;
2016-06-11T12:09:00;2016-06-11T13:09:00;61;False;nan;float;E,A;;
2016-08-23T14:16:00;2016-08-23T15:16:00;61;False;nan;float;E,A;;
2016-09-08T06:27:00;2016-09-08T07:27:00;61;False;nan;float;E,A;;
2016-10-07T04:31:00;2016-10-07T05:31:00;61;False;nan;float;E,A;;
2016-10-19T11:27:00;2016-10-19T12:27:00;61;False;nan;float;E,A;;
2016-10-24T09:41:00;2016-10-24T16:35:00;415;False;nan;float;E,A;;
2016-10-25T13:44:00;2016-10-25T14:44:00;61;False;nan;float;E,A;;
2016-11-17T07:19:00;2016-11-17T08:34:00;76;False;nan;float;E,A;;
2016-12-08T11:30:00;2016-12-08T19:30:00;481;False;nan;float;E,A;;
2016-12-10T18:34:00;2016-12-11T01:46:00;433;False;nan;float;E,A;;
2016-12-13T10:26:00;2016-12-22T13:51:00;13166;False;nan;float;E,A;;
2017-02-23T08:58:00;2017-02-25T02:08:00;2471;False;nan;float;E,A;;
2017-03-10T08:04:00;2017-04-01T08:36:00;31713;False;nan;float;E,A;;
2017-04-03T12:19:00;2017-04-03T13:19:00;61;False;nan;float;E,A;;
2017-09-11T13:07:00;2017-09-11T14:11:00;65;False;nan;float;E,A;;
2017-09-21T17:59:00;2017-09-21T19:17:00;79;False;nan;float;E,A;;
2017-09-22T09:57:00;2017-10-17T13:27:00;36211;False;nan;float;E,A;;
2017-10-18T02:43:00;2017-10-26T15:09:00;12267;False;nan;float;E,A;;
2017-10-27T05:43:00;2017-11-10T18:52:00;20950;False;nan;float;E,A;;
2017-12-22T12:03:00;2017-12-23T14:41:00;1599;False;nan;float;E,A;;
2017-12-26T21:30:00;2018-01-03T15:43:00;11174;False;nan;float;E,A;;
2018-02-05T18:36:00;2018-02-06T20:47:00;1572;False;nan;float;E,A;;
2018-02-18T11:41:00;2018-02-19T14:46:00;1626;False;nan;float;E,A;;
2018-03-02T12:20:00;2018-03-02T17:58:00;339;False;nan;float;E,A;;
2018-03-06T00:03:00;2018-03-12T16:33:00;9631;False;nan;float;E,A;;
2018-03-14T10:49:00;2018-03-15T18:44:00;1916;False;nan;float;E,A;;
2018-03-20T05:19:00;2018-03-20T12:20:00;422;False;nan;float;E,A;;
2018-03-26T18:54:00;2018-03-27T00:52:00;359;False;nan;float;E,A;;
2018-03-27T20:57:00;2018-03-28T14:01:00;1025;False;nan;float;E,A;;
2018-08-26T08:42:00;2018-08-26T09:42:00;61;False;nan;float;E,A;;
2018-10-03T01:10:00;2018-10-03T02:10:00;61;False;nan;float;E,A;;
2019-02-14T10:41:00;2019-02-14T21:11:00;631;False;nan;float;E,A;;
2019-05-17T10:22:00;2019-05-17T11:22:00;61;False;nan;float;E,A;;
